2026-07-11 22:02:17 INFO    src.validation.walk_forward | grid 4/32 {'min_gap_points': 30.0, 'min_stop_points': 15.0, 'target_r': 1.0, 'expire_minutes': 60, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 462 trades, net $-3156
2026-07-11 22:02:19 INFO    src.backtest.engine | fvg_scalp: 492 trades, 58 ambiguous bars, 1 forced session-end exits
2026-07-11 22:02:19 INFO    src.validation.walk_forward | grid 5/32 {'min_gap_points': 30.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 30, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 492 trades, net $-3561
2026-07-11 22:02:21 INFO    src.backtest.engine | fvg_scalp: 392 trades, 44 ambiguous bars, 1 forced session-end exits
2026-07-11 22:02:21 INFO    src.validation.walk_forward | grid 6/32 {'min_gap_points': 30.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 30, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 392 trades, net $-3328
2026-07-11 22:02:23 INFO    src.backtest.engine | fvg_scalp: 575 trades, 61 ambiguous bars, 1 forced session-end exits
2026-07-11 22:02:23 INFO    src.validation.walk_forward | grid 7/32 {'min_gap_points': 30.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 60, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 575 trades, net $-3363
2026-07-11 22:02:25 INFO    src.backtest.engine | fvg_scalp: 462 trades, 45 ambiguous bars, 1 forced session-end exits
2026-07-11 22:02:25 INFO    src.validation.walk_forward | grid 8/32 {'min_gap_points': 30.0, 'min_stop_points': 15.0, 'target_r': 1.5, 'expire_minutes': 60, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 462 trades, net $-2734
2026-07-11 22:02:27 INFO    src.backtest.engine | fvg_scalp: 492 trades, 29 ambiguous bars, 0 forced session-end exits
